,image,px_out_from_centre,px_value,px_along_axis,total_axis_length_px,channel,max_signal_perpendicular
0,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,272.0287,0,260,0,274.69452
1,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,268.40408,0,260,0,274.69452
2,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,263.46207,0,260,0,274.69452
3,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,258.8283,0,260,0,274.69452
4,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,254.9028,0,260,0,274.69452
5,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,252.00304,0,260,0,274.69452
6,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,250.18378,0,260,0,274.69452
7,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,249.25214,0,260,0,274.69452
8,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,249.1784,0,260,0,274.69452
9,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,250.74403,0,260,0,274.69452
10,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,252.26666,0,260,0,274.69452
11,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,256.29416,0,260,0,274.69452
12,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,259.76596,0,260,0,274.69452
13,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,264.02582,0,260,0,274.69452
14,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,268.8535,0,260,0,274.69452
15,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,272.96243,0,260,0,274.69452
16,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,274.69452,0,260,0,274.69452
17,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,274.62637,0,260,0,274.69452
18,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,273.47525,0,260,0,274.69452
19,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,271.86267,0,260,0,274.69452
20,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,268.5641,0,260,0,274.69452
0,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,113.141716,0,260,1,134.39436
1,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,113.08537,0,260,1,134.39436
2,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,113.27042,0,260,1,134.39436
3,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,113.80756,0,260,1,134.39436
4,4_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,114.78108,0,260,1,134.39436
