,image,px_out_from_centre,px_value,px_along_axis,total_axis_length_px,channel,max_signal_perpendicular
0,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,187.53879,0,321,0,200.8917
1,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,190.78499,0,321,0,200.8917
2,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,192.91634,0,321,0,200.8917
3,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,194.00624,0,321,0,200.8917
4,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,194.27693,0,321,0,200.8917
5,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,196.17262,0,321,0,200.8917
6,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,197.71754,0,321,0,200.8917
7,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,199.0417,0,321,0,200.8917
8,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,200.32906,0,321,0,200.8917
9,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,200.8917,0,321,0,200.8917
10,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,200.62296,0,321,0,200.8917
11,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,199.57672,0,321,0,200.8917
12,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,196.69025,0,321,0,200.8917
13,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,192.24474,0,321,0,200.8917
14,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,187.81049,0,321,0,200.8917
15,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,184.35156,0,321,0,200.8917
16,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,183.21117,0,321,0,200.8917
17,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,182.14937,0,321,0,200.8917
18,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,182.21695,0,321,0,200.8917
19,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,182.83203,0,321,0,200.8917
20,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,183.81291,0,321,0,200.8917
0,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,114.81576,0,321,1,221.666
1,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,115.011345,0,321,1,221.666
2,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,117.867134,0,321,1,221.666
3,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,131.78976,0,321,1,221.666
4,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,162.5733,0,321,1,221.666
5,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,202.04913,0,321,1,221.666
6,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,221.666,0,321,1,221.666
7,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,204.35585,0,321,1,221.666
8,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,168.75502,0,321,1,221.666
9,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,148.18864,0,321,1,221.666
10,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,163.70224,0,321,1,221.666
11,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,189.28534,0,321,1,221.666
12,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,187.06264,0,321,1,221.666
13,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,165.31772,0,321,1,221.666
14,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,142.32285,0,321,1,221.666
15,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,128.74065,0,321,1,221.666
16,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,123.61541,0,321,1,221.666
17,X_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,122.83774,0,321,1,221.666
