,image,px_out_from_centre,px_value,px_along_axis,total_axis_length_px,channel,max_signal_perpendicular
0,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,234.64807,0,166,0,234.64807
1,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,232.91443,0,166,0,234.64807
2,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,230.34961,0,166,0,234.64807
3,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,228.48445,0,166,0,234.64807
4,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,226.66145,0,166,0,234.64807
5,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,223.6601,0,166,0,234.64807
6,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-4,219.8199,0,166,0,234.64807
7,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-3,214.83879,0,166,0,234.64807
8,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-2,210.07555,0,166,0,234.64807
9,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-1,208.67937,0,166,0,234.64807
10,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,0,206.6555,0,166,0,234.64807
11,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,1,204.83864,0,166,0,234.64807
12,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,2,202.57544,0,166,0,234.64807
13,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,3,199.95345,0,166,0,234.64807
14,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,4,197.97296,0,166,0,234.64807
15,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,5,196.92899,0,166,0,234.64807
16,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,6,196.26222,0,166,0,234.64807
17,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,7,195.48392,0,166,0,234.64807
18,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,8,194.37578,0,166,0,234.64807
19,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,9,193.74997,0,166,0,234.64807
20,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,10,193.67862,0,166,0,234.64807
0,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-10,120.49755,0,166,1,132.43193
1,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-9,122.79539,0,166,1,132.43193
2,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-8,124.52094,0,166,1,132.43193
3,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-7,125.21951,0,166,1,132.43193
4,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-6,127.861885,0,166,1,132.43193
5,Y_100xB6_260918A_D_MLH1_Scp3_Syce2_straight.tif,-5,131.54343,0,166,1,132.43193
