img_name,stage,label,area,circularity,centroid_x,centroid_y,distance_axes_mask,distance_autosome_mask
Image Segmentation,Pachytene,1,1,1.748,237.000,375.000,15,47
Image Segmentation,Pachytene,2,6,0.900,352.500,372.500,0,0
Image Segmentation,Pachytene,3,2,1.199,364.000,368.500,0,0
Image Segmentation,Pachytene,4,4,1.199,356.500,369.500,0,0
Image Segmentation,Pachytene,5,4,0.823,365.750,368.250,0,0
Image Segmentation,Pachytene,6,2,1.199,372.000,365.500,0,0
Image Segmentation,Pachytene,7,2,1.199,196.000,365.500,24,49
Image Segmentation,Pachytene,8,1,1.748,292.000,364.000,0,0
Image Segmentation,Pachytene,9,2,1.199,288.000,364.500,0,0
Image Segmentation,Pachytene,10,4,0.954,368.000,361.750,0,0
Image Segmentation,Pachytene,11,3,1.076,301.667,362.333,0,0
Image Segmentation,Pachytene,12,2,1.199,297.000,362.500,0,0
Image Segmentation,Pachytene,13,2,1.199,248.500,362.000,3,32
Image Segmentation,Pachytene,14,2,1.199,357.500,361.000,0,0
Image Segmentation,Pachytene,15,7,0.720,305.429,360.143,0,0
Image Segmentation,Pachytene,16,1,1.748,313.000,358.000,0,0
Image Segmentation,Pachytene,17,4,1.199,244.500,356.500,0,28
Image Segmentation,Pachytene,18,4,1.199,318.500,355.500,0,0
Image Segmentation,Pachytene,19,4,0.954,238.000,354.250,0,28
Image Segmentation,Pachytene,20,7,0.552,250.571,352.714,0,20
Image Segmentation,Pachytene,21,4,1.199,237.500,352.500,0,26
Image Segmentation,Pachytene,22,5,1.029,234.600,350.800,0,26
Image Segmentation,Pachytene,23,1,1.748,314.000,350.000,0,0
Image Segmentation,Pachytene,24,3,1.076,217.333,349.667,0,39
Image Segmentation,Pachytene,25,4,0.954,229.000,349.250,0,29
Image Segmentation,Pachytene,26,4,0.954,232.000,347.750,0,26
Image Segmentation,Pachytene,27,5,1.029,315.400,346.800,0,0
Image Segmentation,Pachytene,28,3,1.076,243.667,346.333,0,18
Image Segmentation,Pachytene,29,3,0.900,252.000,345.000,0,14
Image Segmentation,Pachytene,30,3,0.900,318.000,343.000,0,0
Image Segmentation,Pachytene,31,6,1.076,247.500,342.000,0,12
Image Segmentation,Pachytene,32,1,1.748,245.000,342.000,0,14
Image Segmentation,Pachytene,33,5,0.666,347.800,337.200,0,0
Image Segmentation,Pachytene,34,8,1.066,346.125,332.875,0,0
Image Segmentation,Pachytene,35,7,1.049,329.000,331.000,0,0
Image Segmentation,Pachytene,36,6,0.800,343.833,330.333,0,0
Image Segmentation,Pachytene,37,6,0.900,256.000,327.833,0,0
Image Segmentation,Pachytene,38,4,1.199,252.500,326.500,0,0
Image Segmentation,Pachytene,39,2,1.199,157.500,325.000,0,0
Image Segmentation,Pachytene,40,1,1.748,149.000,325.000,0,0
Image Segmentation,Pachytene,41,5,1.029,248.600,323.800,0,0
Image Segmentation,Pachytene,42,3,1.076,142.667,323.667,0,0
Image Segmentation,Pachytene,43,3,1.076,161.333,322.667,0,0
Image Segmentation,Pachytene,44,1,1.748,137.000,322.000,0,0
Image Segmentation,Pachytene,45,1,1.748,382.000,321.000,0,0
Image Segmentation,Pachytene,46,2,1.199,164.500,321.000,0,0
Image Segmentation,Pachytene,47,3,1.076,385.333,320.333,0,0
Image Segmentation,Pachytene,48,2,1.199,388.500,319.000,0,0
Image Segmentation,Pachytene,49,3,1.076,398.667,317.667,0,0
Image Segmentation,Pachytene,50,3,1.076,170.333,318.333,0,0
Image Segmentation,Pachytene,51,4,1.199,400.500,316.500,0,0
Image Segmentation,Pachytene,52,4,1.199,393.500,317.500,0,0
Image Segmentation,Pachytene,53,5,1.029,245.600,315.800,0,0
Image Segmentation,Pachytene,54,2,1.199,179.500,316.000,0,0
Image Segmentation,Pachytene,55,4,1.199,184.500,314.500,0,0
Image Segmentation,Pachytene,56,3,1.076,188.333,314.333,0,0
Image Segmentation,Pachytene,57,3,1.076,350.333,313.667,0,0
Image Segmentation,Pachytene,58,4,1.199,282.500,312.500,0,0
Image Segmentation,Pachytene,59,6,0.900,241.833,311.000,0,0
Image Segmentation,Pachytene,60,2,1.199,281.500,309.000,0,0
Image Segmentation,Pachytene,61,2,1.199,447.500,304.000,0,0
Image Segmentation,Pachytene,62,4,0.954,443.000,304.250,0,0
Image Segmentation,Pachytene,63,4,1.199,346.500,304.500,0,0
Image Segmentation,Pachytene,64,3,1.076,279.667,303.667,0,0
Image Segmentation,Pachytene,65,5,1.029,440.200,303.400,0,0
Image Segmentation,Pachytene,66,4,0.680,343.500,300.500,0,0
Image Segmentation,Pachytene,67,1,1.748,436.000,299.000,0,0
Image Segmentation,Pachytene,68,2,1.199,278.500,298.000,0,0
Image Segmentation,Pachytene,69,3,1.076,434.667,297.333,0,0
Image Segmentation,Pachytene,70,1,1.748,343.000,297.000,0,0
